x,y,yaw,speed
0.2505,-0.15,0.0,1.0
0.501,-0.15,0.0,1.0
0.7515,-0.15,0.0,1.0
1.002,-0.15,0.0,1.0
1.2525,-0.15,0.0,1.0
1.503,-0.15,0.0,1.0
1.7535,-0.15,0.0,1.0
2.004,-0.15,0.0,1.0
2.2545,-0.15,0.0,1.0
2.505,-0.15,0.0,1.0
2.7555,-0.15,0.0,1.0
3.006,-0.15,0.0,1.0
3.2565,-0.15,0.0,1.0
3.507,-0.15,0.0,1.0
3.7575,-0.15,0.0,1.0
4.008,-0.15,0.0,1.0
4.2585,-0.15,0.0,1.0
4.509,-0.15,0.0,1.0
4.7595,-0.15,0.0,1.0
5.01,-0.15,0.0,1.0
5.2605,-0.15,0.0,1.0
5.511,-0.15,0.0,1.0
5.7615,-0.15,0.0,1.0
6.012,-0.15,0.0,1.0
6.2625,-0.15,0.0,1.0
6.513,-0.15,0.0,1.0
6.7635,-0.15,0.0,1.0
7.014,-0.15,0.0,1.0
7.2645,-0.15,0.0,1.0
7.5151,-0.15,0.0,1.0
7.7656,-0.15,0.0,1.0
8.0161,-0.15,0.0,1.0
8.2666,-0.15,0.0,1.0
8.5171,-0.15,0.0,1.0
8.7676,-0.15,0.0,1.0
9.0181,-0.15,0.0,1.0
9.2686,-0.15,0.0,1.0
9.5191,-0.15,0.0,1.0
9.7696,-0.15,0.744014,1.0
9.9,-0.0299,0.822784,1.0
10.0206,0.1,0.752012,1.0
10.15,0.2211,0.814783,1.0
10.2716,0.35,0.676334,1.0
10.4156,0.4656,2.019532,1.0
10.35,0.6019,2.175456,1.0
10.2476,0.75,2.16111,1.0
10.1471,0.9,2.284091,1.0
10.0173,1.05,1.923137,1.0
9.95,1.2332,2.157259,1.0
9.85,1.3837,1.785046,1.0
9.8,1.6135,1.815186,1.0
9.75,1.814,1.63195,1.0
9.7355,2.05,1.870692,1.0
9.7,2.165,1.456837,1.0
9.7155,2.3,1.281271,1.0
9.75,2.416,1.692981,1.0
9.7335,2.55,1.850065,1.0
9.7,2.667,1.44028,1.0
9.7175,2.8,1.301668,1.0
9.75,2.918,1.709753,1.0
9.7315,3.05,1.829899,1.0
9.7,3.169,1.42329,1.0
9.7195,3.3,1.321603,1.0
9.75,3.42,1.726961,1.0
9.7295,3.55,1.810195,1.0
9.7,3.671,1.405862,1.0
9.7215,3.8,1.341077,1.0
9.75,3.922,1.744612,1.0
9.7275,4.05,1.790951,1.0
9.7,4.173,1.387988,1.0
9.7235,4.3,1.360091,1.0
9.75,4.424,1.76271,1.0
9.7255,4.55,1.772166,1.0
9.7,4.675,1.369664,1.0
9.7255,4.8,1.378648,1.0
9.75,4.926,1.781261,1.0
9.7235,5.05,1.753836,1.0
9.7,5.177,1.350884,1.0
9.7275,5.3,1.396752,1.0
9.75,5.428,1.80027,1.0
9.7215,5.55,1.735956,1.0
9.7,5.679,1.331647,1.0
9.7295,5.8,1.414409,1.0
9.75,5.93,1.819738,1.0
9.7195,6.05,1.718522,1.0
9.7,6.181,1.570796,1.0
9.7,6.4315,1.713011,1.0
9.6726,6.6226,1.259763,1.0
9.7437,6.8437,1.545386,1.0
9.75,7.0916,1.570796,1.0
9.75,7.3421,1.570796,1.0
9.75,7.5926,1.570796,1.0
9.75,7.8431,1.785046,1.0
9.7,8.0729,1.785046,1.0
9.65,8.3027,1.966675,1.0
9.5675,8.5,2.681746,1.0
9.4,8.583,2.961606,1.0
9.1763,8.6237,3.032132,1.0
8.9367,8.65,3.141593,1.0
8.6862,8.65,3.141593,1.0
8.4357,8.65,3.141593,1.0
8.1852,8.65,3.141593,1.0
7.9347,8.65,3.141593,1.0
7.6842,8.65,3.141593,1.0
7.4337,8.65,3.141593,1.0
7.1832,8.65,3.141593,1.0
6.9327,8.65,3.141593,1.0
6.6822,8.65,3.141593,1.0
6.4317,8.65,3.141593,1.0
6.1812,8.65,3.141593,1.0
5.9307,8.65,3.141593,1.0
5.6802,8.65,3.141593,1.0
5.4297,8.65,3.141593,1.0
5.1792,8.65,3.141593,1.0
4.9287,8.65,3.141593,1.0
4.6782,8.65,3.141593,1.0
4.4277,8.65,3.141593,1.0
4.1772,8.65,3.141593,1.0
3.9267,8.65,3.141593,1.0
3.6762,8.65,3.141593,1.0
3.4257,8.65,3.141593,1.0
3.1752,8.65,3.141593,1.0
2.9247,8.65,3.141593,1.0
2.6742,8.65,3.141593,1.0
2.4237,8.65,3.141593,1.0
2.1732,8.65,3.141593,1.0
1.9227,8.65,3.141593,1.0
1.6722,8.65,3.141593,1.0
1.4217,8.65,3.141593,1.0
1.1712,8.65,3.141593,1.0
0.9207,8.65,3.141593,1.0
0.6702,8.65,3.141593,1.0
0.4197,8.65,3.141593,1.0
0.1692,8.65,3.141593,1.0
-0.0813,8.65,3.141593,1.0
-0.3318,8.65,3.141593,1.0
-0.5823,8.65,3.141593,1.0
-0.8328,8.65,3.141593,1.0
-1.0833,8.65,3.141593,1.0
-1.3338,8.65,3.141593,1.0
-1.5843,8.65,3.141593,1.0
-1.8348,8.65,3.141593,1.0
-2.0853,8.65,3.141593,1.0
-2.3358,8.65,3.141593,1.0
-2.5863,8.65,3.141593,1.0
-2.8368,8.65,3.141593,1.0
-3.0873,8.65,3.141593,1.0
-3.3378,8.65,3.141593,1.0
-3.5883,8.65,3.141593,1.0
-3.8388,8.65,3.141593,1.0
-4.0893,8.65,3.141593,1.0
-4.3398,8.65,3.141593,1.0
-4.5903,8.65,3.141593,1.0
