x_m,y_m,vx_mps
-0.7754925,1.9785774,4.5163829
-0.8012347,1.7814110,4.6093198
-0.8097959,1.5826020,4.4823998
-0.7995596,1.3834326,4.3681728
-0.7690335,1.1868531,4.2662209
-0.7168004,0.9945689,4.1778381
-0.6419952,0.8100298,4.1116085
-0.5440575,0.6365763,4.0686882
-0.4231437,0.4781355,4.0435087
-0.2810773,0.3391025,4.0274543
-0.1199615,0.2216373,4.0113356
0.0554343,0.1258945,4.0677053
0.2387601,0.0498078,4.2041291
0.4272266,-0.0123162,4.4297291
0.6180119,-0.0660882,4.6451072
0.8100990,-0.1124899,4.8493226
1.0065675,-0.1512409,5.0437435
1.2033640,-0.1805569,5.2294745
1.4010167,-0.2005834,5.4074222
1.6014385,-0.2121071,5.5783427
1.7997977,-0.2160407,5.7428738
1.9994763,-0.2142948,5.9015601
2.1988740,-0.2089885,6.0548710
2.3980495,-0.2026230,6.2032145
2.5974390,-0.1975213,6.3469483
2.7971090,-0.1953984,6.4863876
2.9962484,-0.1958907,6.6218125
3.1954604,-0.1977873,6.7534730
3.3941114,-0.1992573,6.8815932
3.5932386,-0.1997785,7.0063756
3.7919716,-0.1998703,7.1280031
3.9914666,-0.1998700,7.2466424
4.1905430,-0.1999237,7.3624452
4.3897911,-0.1999120,7.2749995
4.5890824,-0.1990665,6.9870150
4.7882687,-0.1960461,6.7307465
4.9873883,-0.1894477,6.5038237
5.1863194,-0.1779108,6.2952651
5.3847633,-0.1602882,6.1007808
5.5824049,-0.1355835,5.9136652
5.7790225,-0.1029397,5.7280411
5.9735884,-0.0617901,5.5396922
6.1666494,-0.0113085,5.3473054
6.3564620,0.0488282,5.1589776
6.5427699,0.1198026,5.0034809
6.7240392,0.2033740,4.8760495
6.8969247,0.3000874,4.7791524
7.0627033,0.4128885,4.6956565
7.2160557,0.5401013,4.6272591
7.3549500,0.6811343,4.5728836
7.4801846,0.8385784,4.5182982
7.5867585,1.0076606,4.4619192
7.6734180,1.1860906,4.4056748
7.7405857,1.3722305,4.3456954
7.7923357,1.5631729,4.2121409
7.8364541,1.7549006,3.8528381
7.8673098,1.9512656,3.7036651
7.8715023,2.1517888,3.6334315
7.8430498,2.3480681,3.6190052
7.7806646,2.5352564,3.6045213
7.6866706,2.7117376,3.6493634
7.5670886,2.8724224,3.7454083
7.4281683,3.0139485,3.8586885
7.2704080,3.1374756,3.9615256
7.0991843,3.2386128,4.0325993
6.9154802,3.3161366,4.0661237
6.7230443,3.3673029,4.0499795
6.5252835,3.3904731,4.0337707
6.3262416,3.3875546,4.0817305
6.1286660,3.3621014,4.1840233
5.9344592,3.3184567,4.3463140
5.7435985,3.2617052,4.5662692
5.5545781,3.1976387,4.7744658
5.3664537,3.1333118,4.9723936
5.1752497,3.0753458,5.0635053
4.9814297,3.0314974,5.0434011
4.7842236,3.0057206,5.0232164
4.5851879,2.9980038,5.0147737
4.3862046,3.0062874,5.0683770
4.1879534,3.0277888,5.1822524
3.9910015,3.0597842,5.3453397
3.7966032,3.0988712,5.5186666
3.6025060,3.1421767,5.6853903
3.4096034,3.1874401,5.8460861
3.2147644,3.2341571,6.0012482
3.0222787,3.2804729,6.1513049
2.8275518,3.3258661,6.2966306
2.6328516,3.3681117,6.4375548
2.4369506,3.4059555,6.4549254
2.2402227,3.4379861,6.2772312
2.0417780,3.4631038,6.1059457
1.8431622,3.4802301,5.9389871
1.6438444,3.4887926,5.7678359
1.4431754,3.4885004,5.5850204
1.2461058,3.4797445,5.3739283
1.0469250,3.4634119,5.1178138
0.8498400,3.4423026,4.7475750
0.6540385,3.4155945,4.4330426
0.4578468,3.3782423,4.2141717
0.2666908,3.3247174,4.0772410
0.0821897,3.2497564,4.0086356
-0.0907389,3.1503058,3.9927196
-0.2467874,3.0266590,3.9767400
-0.3836784,2.8821587,3.9932539
-0.5005448,2.7208194,4.0518542
-0.5972349,2.5468283,4.1400765
-0.6745824,2.3632521,4.2504881
-0.7335368,2.1732320,4.3780561
